Name,Grade,Engagement,Socio-Economic Status,First Generation Student,LMS Interactions
Natalie Glass,87,Medium,Low,False,46
Darlene Fischer,50,Low,High,True,12
Rebecca Garcia,36,Medium,Low,True,56
Garrett Taylor,52,Medium,Low,False,64
Jessica Watts,85,Medium,Medium,True,39
Sydney Manning,28,Medium,High,True,38
Colleen Baker,95,Low,High,True,98
Robert Martinez,3,Medium,Medium,True,3
Sheila Anderson,21,Low,Low,True,24
Tamara Hernandez,25,Medium,Medium,True,99
Bobby Thomas,60,Low,Low,True,34
Brittney Rivera,85,Medium,Medium,True,97
Victoria Dalton,64,Medium,High,False,79
Dawn Baker,45,Medium,High,False,0
Victor Anderson,1,Low,Medium,False,73
Rose Hoffman,46,Low,High,False,28
Kathleen Perry,9,High,Low,True,93
Michael Gonzalez,74,Low,Low,True,27
William Black,14,High,Medium,False,60
Todd Luna,100,Low,Low,False,18
James Campbell,32,Low,Medium,False,95
Patrick Kelley,14,Medium,Medium,False,84
Kimberly White,26,Medium,Medium,False,18
Tonya Burgess,11,Medium,High,True,13
Shannon Moore,47,High,Low,True,7
Oscar Griffin,2,Low,Medium,False,36
Jeanne Williams,61,Low,Medium,True,5
Darren Burgess,7,Medium,Low,False,16
David Keller,71,Low,Medium,False,29
Tiffany Lopez,5,High,Low,True,4
Sharon Murray,28,High,Medium,False,36
Charles Edwards,81,High,Low,True,8
Alyssa Thompson,65,Low,High,True,55
Kyle Lynn,76,Medium,Medium,True,0
William Garcia,83,Low,High,False,41
Sabrina Zhang,81,Medium,High,True,31
Billy Mendez,72,Low,Low,False,73
Traci King,62,High,High,True,39
Timothy Thomas,19,Low,High,True,27
Darlene Pham,86,High,Low,True,54
Heather Walker,98,Medium,Low,True,7
John Flores,82,Medium,High,False,100
Tara Franklin,63,Medium,High,True,12
Marilyn Moss,57,Medium,Medium,True,92
Jacob James,41,Medium,Medium,False,86
Kathleen Harris,80,Low,Medium,True,12
Jill Newman,65,Medium,Low,True,50
Brandon Rodriguez,47,High,Low,True,1
Jackson Miller,42,Low,High,False,78
Dr. Heather Rocha,78,High,High,True,67
Joseph Jensen,36,High,High,False,10
Kimberly Anderson,71,Low,High,True,89
Christopher Hayes,7,High,High,False,20
Madeline Phillips,34,High,Medium,False,39
Robert Blackburn,79,Low,Low,False,30
Kevin Russo,19,High,Medium,True,52
Molly Newman,90,Low,Medium,False,3
Lauren Cobb,77,Low,Low,False,17
Nathan Leach,68,Medium,Low,True,26
Troy Flores,85,Low,High,False,7
Jennifer Christian,18,High,Low,True,91
Karen Duncan,74,High,Low,True,60
Ms. Sandra Burns DDS,32,High,Medium,False,41
Nicholas Barnes,71,High,Low,False,21
David Melendez,12,High,Medium,True,82
Marissa Campbell,0,Low,Medium,True,82
Ryan Thomas,74,Low,Low,True,59
Jon Neal,33,High,Low,False,29
Sara Golden,64,Medium,Low,False,2
Ms. Jamie Dunn MD,68,High,Low,True,75
Breanna Wilson,33,Low,Low,True,7
Anna Johnson,77,High,Medium,False,50
Daniel Taylor,59,Low,High,False,16
Angela Mullins,65,Low,Medium,True,61
Anthony Ball,4,Low,High,True,10
Robin Hayden,11,Medium,High,True,79
Michael Booker,77,Medium,Low,True,3
Sharon Smith,2,High,Low,True,85
Megan Wright,75,Low,Medium,False,20
Jamie Neal,1,Low,High,True,9
Mark Davis,76,High,Medium,True,84
Michael Hoover,15,Low,High,False,2
Jesus Wilson,34,High,Medium,False,68
Nathaniel Terry,53,High,Medium,True,58
Amy Barnes,54,Low,High,True,57
Christopher Orr,62,Low,Low,True,66
Victoria Thomas,92,Low,Low,False,11
Jordan Mccoy,23,High,High,True,90
Jenny Holland,88,High,High,False,26
Guy Murphy,42,High,Low,False,77
Mr. Isaac Gibson,21,Medium,Low,True,80
Chad Ochoa,53,High,Medium,True,79
Edward Poole,89,Medium,High,False,6
Matthew King,38,Medium,Medium,True,52
James Cruz,43,High,Low,False,16
Natalie Martin MD,70,Medium,Low,True,46
Lisa Kline,93,High,Low,False,50
Patricia Garcia,26,High,Medium,True,15
Bryan Reed,82,Medium,Low,False,88
Yvette Cervantes,52,Medium,Low,True,43
Abigail Brown,16,High,Low,True,24
Denise Adams,26,Low,Low,True,66
Linda Kennedy,90,High,Medium,False,47
Elizabeth House,85,High,Low,True,76
Dale Snyder,79,Medium,Medium,True,97
Meagan Lawson,45,Medium,Low,True,81
Taylor Barrett,57,High,Medium,True,57
Dana Robinson,39,Low,High,True,2
Kaitlyn Allen,30,High,Medium,False,31
Robert Allen,5,High,Medium,True,43
Richard Sullivan,69,High,Medium,True,42
Dr. Eric Brooks,92,High,High,True,71
Hector Fox,15,Medium,Low,True,20
Nathan Velasquez,96,High,Low,False,66
Martin Stanley,53,Medium,Medium,False,95
Justin Christian,85,High,High,False,1
Ryan Valencia,21,Medium,Low,False,62
Brooke Robles,21,Low,High,False,41
William Edwards,50,Medium,Medium,True,65
Jasmine Cruz,36,High,Low,True,3
Robert Barber,86,Low,High,False,70
Shelley Perez,55,High,Low,False,16
Robert Moore,8,High,Low,True,58
Kevin English,12,High,Medium,False,0
Benjamin Tucker,86,High,Medium,True,8
Brent Vega,0,Low,Medium,True,36
Bobby Sutton DVM,98,Low,Medium,False,34
Scott Franklin,5,High,High,False,0
Felicia Mathews,34,Low,Medium,True,43
Dorothy Tucker,20,Medium,Low,True,98
Stephanie Sandoval,24,High,Low,True,28
Courtney Zamora,0,Medium,High,False,100
Alexandra Cox,70,High,Medium,False,59
Eric Jordan,97,High,High,True,9
Brendan Washington Jr.,7,High,Medium,False,68
Robert Oneal,98,High,Medium,False,52
Peter Evans,39,High,High,False,66
Sarah Blanchard,32,High,High,False,92
Ryan Walker,83,Medium,Medium,True,75
Samuel Ford,93,Low,High,False,57
Kelly Alexander,42,High,High,True,86
Matthew Bender,10,Medium,Low,False,83
Ross Smith,49,Low,Medium,True,97
Cole Bradley,11,High,Medium,False,63
David Johnson,41,High,Low,True,71
Sara Gonzales,72,Low,High,True,75
Summer Robinson,25,Medium,Low,False,57
Randy Hart,18,Low,Low,False,38
Taylor Taylor,66,Low,Medium,True,97
Justin Frazier,76,Medium,Medium,False,45
Jason Gregory,21,Low,Medium,True,55
Elizabeth Craig,6,High,Low,True,20
Arthur Mendez,59,High,Medium,False,89
Dr. Christopher Brown,56,Low,Low,False,38
Rebecca Torres,32,High,Medium,False,37
Phyllis Harris,94,Medium,Medium,False,63
Michael Kim,0,Medium,Medium,True,28
Linda Smith,54,Low,High,True,92
Amber Orr,43,Low,High,True,24
Stephanie Bullock,94,High,Medium,False,62
Ryan Turner,36,High,High,False,0
Timothy Pena,98,Low,Medium,False,84
Steven Huang,72,High,Low,True,4
Jacob Yates,43,High,Low,False,34
Jacob Fernandez,33,Low,High,False,35
Mary Ortiz,61,Low,Low,True,81
Carmen Mack,88,Low,Medium,False,58
Crystal Lee,78,Medium,Low,False,27
Tamara King,99,Low,High,False,77
Shannon Hernandez,32,Low,High,False,19
Katrina Woods,80,High,High,True,7
Tammy Horton,53,High,Medium,True,69
Shelley Frederick,95,Low,Medium,True,50
Ryan Bauer,80,Low,Medium,True,54
John Montgomery,85,High,Medium,True,23
Kimberly Miller,100,Low,High,False,39
Margaret Garcia,82,High,Low,False,89
Sarah Gordon,45,High,High,True,44
Patrick Fuller,75,Low,Low,True,17
Lisa Williamson,18,Low,Low,False,74
Brian Frye,55,Medium,Low,True,97
Melanie Jones MD,35,Low,High,False,85
Patrick Dean,43,Low,Low,False,33
Mrs. Lisa Wilson MD,66,Low,Medium,False,1
David Singh,89,High,High,True,0
Jean Travis,80,High,Medium,True,52
Jesse Trevino,67,Medium,Low,True,48
Dr. Brenda Waters MD,77,High,High,True,62
Mark Walker,49,High,Low,False,40
Patrick Jenkins,60,Medium,Medium,True,98
Jennifer Wright,39,High,Medium,True,61
Angela Chen,97,Medium,Medium,False,9
Valerie Barnes,17,High,High,True,65
Phillip Davis,2,High,High,False,83
Grace Aguirre,28,Low,Low,True,75
Christian Miller MD,71,Low,High,True,32
Melanie Mckee,92,Low,Low,False,41
Jeffrey Kaufman,85,High,Medium,False,13
Amanda Long,0,Medium,Medium,False,2
John Perez,46,Low,Low,True,59
Jacqueline Everett DDS,12,Medium,High,False,22
Catherine Fischer,79,Low,High,True,52
Donald Taylor,48,High,Low,False,44
Christopher Cooper,26,Medium,Low,False,83
Kelly Harper,68,Medium,High,False,73
Manuel Dixon,39,High,High,False,92
Jacqueline Davis,19,Low,Low,False,81
Lisa Banks,64,Medium,Low,True,70
Karen Rogers,56,Medium,Medium,True,31
Tara Taylor,12,High,High,True,46
Kelli Ellis,59,Medium,Medium,True,91
Nathan Thompson,35,Medium,Medium,True,30
Carla Stone,0,High,Medium,False,37
Steven Zamora,97,High,High,False,84
Eric Schmidt,41,Low,Medium,False,100
Danny Evans,23,Low,Medium,False,65
Kathy Page,28,Medium,Low,True,86
Cynthia Duarte,52,High,Medium,False,52
Barbara Scott,21,Low,Low,False,27
Vincent Glover,99,Low,High,True,74
Jenna Mitchell,11,Low,High,True,79
Makayla Moon,65,High,Medium,True,43
Samuel Williams,59,High,Low,False,79
Trevor Bass,68,High,High,True,55
Patrick Mcdonald,24,Low,Low,False,57
Daniel Gutierrez,42,Medium,Low,False,57
Tanya Wright,31,Medium,Low,False,30
David Smith,70,Medium,Medium,False,85
Kimberly Palmer,32,Low,Low,True,79
Jacqueline Taylor,88,Medium,Low,True,47
Tammy Porter,23,Low,Low,False,84
Jose Dunn,78,Low,High,True,47
Crystal Lucas,26,Medium,Medium,True,72
Dennis Allen,54,Medium,High,False,12
Veronica Davis,44,Medium,High,True,35
Julia Johnson,57,Medium,Low,True,56
Christine Christensen,52,Low,Low,True,37
Paul Palmer,43,High,Medium,True,72
Kristin Grant,11,Low,Medium,False,46
Samuel Bowen,55,Medium,High,True,75
William Smith,72,High,High,True,8
Jacob Acosta,28,Low,Medium,True,15
Michelle Henderson,23,Low,Low,True,12
Collin Foster,31,Low,Medium,True,34
Tammy Green,96,Medium,Low,False,46
Jared Rivera,78,Low,Low,False,40
Diane Smith,68,Medium,High,False,71
Tommy Briggs,56,High,Medium,True,58
Christopher Watkins,51,Low,High,False,57
Jennifer Pierce,58,Low,Low,True,12
Tiffany Mack,71,Low,Medium,False,77
Christine Reese,65,Low,Medium,False,60
Michael Jones,50,Low,Medium,True,63
Ashley Moran,18,Medium,High,True,83
Lori Brown,47,High,High,True,67
Dalton Sanders,77,Low,Medium,False,15
Jill Krause,95,High,Medium,False,51
Jason Sanchez,1,Medium,High,True,32
Valerie Harrell,36,Medium,Low,True,43
Tonya Johnson MD,35,Medium,High,True,12
Johnny Hughes,47,Medium,Medium,False,91
Johnny Patel,84,Low,Medium,False,76
Jeffrey Banks,84,Medium,Low,True,22
Gilbert Perkins,62,Low,Medium,True,31
Susan Chang,46,Medium,Low,False,74
Jeanette Wiley,55,Low,Low,True,76
Philip Medina,84,Low,Low,True,50
Mary Romero,30,Medium,High,True,64
George Johnson,53,Low,Medium,False,22
Lee Rich,18,Medium,High,False,50
Phyllis Clark,79,Medium,Medium,False,82
Jennifer Turner,10,High,Medium,True,68
Alyssa Allen,73,Medium,Medium,True,5
Tiffany Bird,37,Medium,Low,False,63
Barbara Webb,0,Medium,High,True,45
Kayla Calderon,11,Low,High,True,56
Kristie Lang,13,High,Low,False,63
Kelly Robinson,14,High,Medium,False,15
David Romero,82,Medium,Low,False,17
Ashlee Sanchez,50,Medium,Medium,False,31
Ronald Robinson,35,High,Low,False,37
Margaret Black,22,High,High,True,45
Michelle Gibson,58,Low,Medium,True,54
Amanda Gilmore,45,Medium,Low,True,71
April Pearson,77,Medium,Medium,False,17
Vanessa Bridges,70,Medium,High,False,7
Tina Stevenson,17,Low,Low,True,20
Mark Hampton,83,High,Low,True,8
Julie Marquez,44,Medium,High,True,52
Lauren Lucas,85,Medium,Medium,False,11
Dana Dalton,7,Medium,Low,True,4
Catherine Carpenter,68,Low,Medium,False,59
Hannah Ortega,90,Medium,Low,True,11
Jared Morton,52,Medium,High,False,61
Anthony Poole,100,Low,Low,False,76
Tammy Foley,94,High,Medium,True,46
Todd Moore,43,Medium,Low,True,62
Veronica Hahn,81,Low,Medium,True,37
Crystal Buck,100,Low,Medium,False,33
Richard Chapman,50,High,Low,False,57
Marcia Morales,69,Low,Low,True,6
Nancy Black,78,Low,Medium,True,43
Caitlin Sutton,94,Medium,Medium,True,19
Philip Washington,31,Low,High,True,16
Jacob Jimenez,31,Medium,High,True,31
Nicole Richmond,79,Medium,Low,False,20
Laurie Moore,99,Low,Low,True,100
Brian Johnson,5,Low,Medium,False,61
Gregory Chase,58,Medium,High,False,77
Kenneth Hodges,34,Low,Medium,True,86
Angela Martin,91,High,Medium,False,69
Bryan Meza,16,Low,Medium,False,19
Debbie Alvarez,100,Medium,Medium,False,40
Jessica Cannon,42,Low,Medium,False,37
Gregg Hogan,6,High,Low,True,77
Diane Gardner MD,78,High,Medium,True,1
John Smith,43,Low,Medium,False,98
Chad Phillips,0,Low,High,False,83
Kyle Nichols,87,Medium,Low,True,88
Kevin Bass,48,High,High,False,79
Michael Oliver,76,Low,Low,False,51
Jesse Mccullough,71,Low,Medium,True,28
Renee Anderson,87,Medium,High,True,87
Brian Murphy,46,Low,Medium,False,31
Dennis Ellis,37,Medium,High,False,52
Donald Chan,30,High,Low,False,78
Scott Sellers,93,High,Medium,True,70
Betty Bates,79,High,Low,True,14
Andrea Wells,26,Medium,Low,False,44
Brittany Williams,2,High,Low,False,100
Brian Kelly,18,Medium,Low,False,10
Jason Spencer,53,Low,High,False,37
Scott Ellis,56,Medium,High,False,75
Sarah Brown,80,Medium,Medium,True,9
Nancy Huber,41,Low,High,True,39
Angela Flynn,18,Low,Medium,False,81
Tiffany Brown,92,Medium,Low,False,87
Peggy Gardner,71,Medium,High,True,5
Robert Mason,88,Medium,High,True,79
Jonathan Black,7,Low,Medium,True,94
Stephanie Wolfe,22,High,High,False,51
Christopher Lewis,2,High,High,True,81
Michael Solis,48,Low,Medium,True,60
Dustin Frost,40,High,Low,True,99
James Carson,56,High,Low,True,47
Russell Cook,14,High,Medium,False,23
Kevin Acevedo,72,Low,Low,False,42
April Newman,97,Medium,High,True,32
Amanda Jones,10,High,High,False,7
Kayla Stevenson,77,High,Medium,False,18
Allen Woods,100,High,Medium,True,30
Molly Stevens,3,High,High,False,26
Veronica Page,77,High,High,True,17
Deborah Martin,73,Low,Medium,True,54
Nicholas Walker,14,Low,High,True,45
Rebecca Harrison,2,Medium,High,False,59
Michelle Chandler,81,High,Low,True,10
Anthony Espinoza,74,Medium,Medium,True,47
Jesse Powell,92,Medium,High,False,10
Andrew Watson,3,High,Low,True,49
Michael Walter,58,Medium,High,True,67
Carolyn Brooks,100,High,Low,True,44
Brooke Hall,38,High,Low,True,94
Troy Clark,81,Medium,High,False,33
Kerri Myers,13,Medium,Medium,True,17
Terry Faulkner,98,Medium,Medium,False,69
Carrie Holt,89,Low,High,False,83
Jonathan Rice,18,Medium,Medium,True,35
Paul Rogers,96,High,Medium,True,13
Lauren Estrada,99,Medium,Low,False,20
Gary Shannon,69,Low,Low,False,82
Alicia Jackson,12,High,Medium,False,18
Danielle Padilla,49,High,High,False,16
Donald Sims,25,Low,Medium,True,0
Gina Waters MD,51,Medium,High,True,13
Megan Rice,86,High,Medium,True,93
Mia Haynes,19,Medium,Medium,False,6
Tiffany Schwartz,5,Low,Low,False,82
Benjamin Johnson,40,High,Low,True,35
Joshua Bates,78,High,Medium,True,13
Stephanie Skinner,74,Medium,Low,False,32
Mrs. Lauren Mendez,14,Low,Medium,False,88
Stephen Hinton,22,Low,High,False,42
Mario Johnson,68,Medium,High,True,59
Kelly Bailey,47,Medium,Medium,True,32
Kevin Vega,75,Low,High,True,32
Lawrence Jackson,29,Medium,Medium,True,97
Heather Stephenson,85,Medium,High,True,39
Regina Sullivan,9,Low,High,False,9
Nicole Turner,83,High,Low,False,15
Crystal Gross,50,Medium,High,False,21
Jeanette Jimenez,63,Medium,Medium,False,57
Renee Roth,7,High,Low,False,65
Cheryl Allen MD,77,Low,High,False,6
Bonnie Figueroa,49,Medium,Low,False,57
Renee Moore,87,High,High,False,3
Pamela Cole,12,Low,High,True,47
Sherri Murphy,60,Low,Low,False,62
Alexa Flores,57,Low,Medium,False,11
Nathaniel Duarte,13,Medium,Medium,False,4
Brianna Wilson,5,Low,Medium,True,12
Mrs. Ashley Preston,79,High,Medium,True,46
Bradley Tanner,45,Medium,High,False,97
Gail Howard,49,Low,Low,True,21
Jermaine Morris,20,High,Low,True,15
Craig Keller,10,Low,Low,False,16
Christopher Harrison,82,Medium,High,False,72
Mia Bradford,45,High,High,False,95
James Wu,5,Low,Low,True,84
Carol Mullen,61,High,Low,True,10
Christina Odonnell,11,Low,Medium,True,9
Marcus Watts,35,Low,Low,True,32
Kyle Sullivan,71,Low,High,True,8
Nicole Hughes,81,Medium,Medium,True,82
Christine Navarro,73,High,Medium,False,41
Penny Rogers,28,Low,High,True,90
Donald Neal,43,Low,High,False,1
Amber Oliver,6,High,Medium,True,33
Alexandria Cooper,36,Low,Low,False,72
Mark Romero,55,High,Medium,True,7
Kelly Morris PhD,83,High,Low,False,87
John Briggs,24,Medium,High,True,13
James Fields,67,High,Medium,False,91
Mary Rhodes,7,Medium,Medium,True,41
Michael Figueroa,95,Low,Low,False,20
Richard Taylor,89,Low,High,False,99
Allison Cox,41,High,Medium,True,88
Jenna Young,12,High,Low,False,64
Louis Mcknight,39,Medium,Low,True,78
Leonard Garrett,27,High,High,False,68
Robert Brown,46,Low,Medium,False,12
Cynthia Martinez,61,High,Low,True,31
Christine Ware,32,High,Low,True,100
Jeffrey Morgan DVM,83,Medium,Medium,False,17
Sara Walker,57,High,Low,False,66
Patricia Wilson,53,High,High,False,74
Alyssa Roy,78,Low,High,False,37
Stephen Myers,38,Medium,High,False,51
Yolanda Taylor,8,High,High,True,3
Brett Frye DDS,92,Low,Medium,False,50
Martin Porter,79,Low,High,True,79
Justin Jones,96,Medium,High,False,1
Barbara Clark,11,Low,High,False,66
Carla Harvey,100,Medium,Low,True,5
Brandon Golden,91,High,High,False,75
Deanna Chase,67,Medium,Medium,True,50
Amanda Lin,73,High,Medium,False,95
Alyssa Martin,70,High,Low,True,41
Joshua Miller,92,Low,Medium,True,55
Alexandra Conley,84,Medium,High,True,90
Caroline Ortiz,23,Medium,Low,True,57
Michael Lewis,2,Low,High,True,51
Jessica Ellison,58,High,Medium,False,51
Sue Drake,67,High,Medium,True,43
Charles Livingston,86,Low,Medium,False,82
Diane Alvarez,55,Low,High,False,74
Elizabeth Fitzgerald,39,Medium,Medium,False,90
Leslie Jackson,75,Medium,Medium,False,22
Andrea Logan,97,High,High,False,54
Micheal Santiago,49,Low,High,True,1
Natalie Williams,22,High,High,False,59
Caroline Ellis,3,Medium,High,False,82
Thomas Cannon,56,Low,Low,False,19
Austin Wagner,60,Medium,Medium,True,25
Vincent Wade,20,High,Medium,True,93
Cynthia Little,69,High,Medium,True,32
Jennifer Rodriguez,55,Medium,High,True,14
Elizabeth Cannon,61,Low,Medium,False,63
Sandra Schneider,67,Medium,High,False,85
Mrs. Regina Johnson,79,High,Low,False,17
Norman Lee,0,High,Medium,False,35
Stacy Torres,3,High,Medium,False,94
Kevin Love,87,High,High,True,17
Albert Mejia,98,High,Medium,True,45
Amy Bryant,44,Medium,Low,False,100
Alexander Brown,47,High,Medium,True,86
James York,4,High,Medium,False,36
Joanne Reyes,53,High,High,False,3
David Krueger,52,Low,High,False,74
Daniel Mendoza,76,Low,High,True,42
Nicole Bauer,23,High,Medium,False,60
Carrie Escobar,95,Medium,High,False,97
Benjamin Powell,51,High,High,False,15
Robert Noble,3,Low,Low,False,74
Elizabeth Le,94,Medium,Low,False,4
Kathryn Bailey,44,Medium,Medium,False,60
Mr. Rick Davis,1,High,Medium,True,84
Jacob Collins,92,High,High,True,34
Tammy Martinez,71,Medium,Medium,True,90
Daniel Patterson,53,Low,Medium,True,80
Phillip Morrison,88,Low,Low,True,81
Emma Shields,97,High,High,True,79
Daniel Anderson,16,Medium,High,True,1
Cynthia Henderson,90,High,High,True,76
Chris Allen,55,Medium,High,False,90
Shawn Richmond,56,High,Medium,False,52
Ms. Jennifer Sloan MD,47,Low,Low,False,90
Tyler Horton,64,High,Low,False,57
Colin Coffey,3,High,Low,False,38
Robert Matthews,63,Medium,High,True,4
Lisa Hernandez,44,Medium,High,False,58
Amy Andrews,69,Low,Low,False,40
Rachael Torres,97,Medium,High,True,41
Carol Johnson,28,Low,High,True,84
Timothy Henry,18,Low,Low,True,44
Robert Gibson,30,Medium,High,True,76
Carl Rosario,6,Low,Medium,True,50
Travis Stewart,48,High,Low,False,95
James Mathews,46,High,Medium,False,84
Alice Green,27,High,Medium,True,95
Theresa Ross,48,High,High,True,87
Kimberly Reid,96,Medium,Medium,False,65
Michael Jones,77,Low,High,True,58
John Hansen,16,Low,Low,False,60
James Bautista MD,49,Medium,Medium,True,24
Jamie Greer,71,Medium,Medium,True,37
Alexander Allen,35,High,Medium,True,97
Courtney Ochoa,47,Low,High,False,88
Tyler Carter,50,Low,Low,False,45
Steve Cooke,23,High,Low,True,3
April Leblanc,21,High,High,True,87
Connie Duffy,77,High,Medium,True,41
Justin Ball,40,Medium,High,True,54
Jonathan Marsh,47,High,Medium,True,50
Dr. Dale Graham,94,High,Medium,False,26
Emily Dalton,18,High,Medium,False,27
Cheryl Scott,91,High,Medium,True,90
Cindy Rosales,88,High,Low,False,71
Jesus Cardenas,58,Low,Medium,True,58
Jesse Sampson,53,Medium,High,True,31
George Johnson,100,Medium,High,True,69
Michael Aguilar,28,Medium,High,False,100
Troy Villa,98,Medium,Low,True,32
Brian Nelson,23,Medium,Low,False,20
Grace Benson,25,Medium,Medium,False,12
Randall Mcdonald,35,Medium,High,False,77
Jeffrey Diaz,68,Low,High,False,78
Anthony Mayo,41,Medium,High,True,21
Daniel Wright,4,Low,Low,True,51
Melissa Cabrera,21,Low,Low,False,25
Sharon Silva,46,Low,Medium,True,84
Christopher Gilbert,71,High,Low,False,36
Cynthia Jones,43,Low,Low,True,52
Nancy Jenkins,49,Medium,Low,False,55
Jessica Gonzalez,38,Low,Low,True,39
Stanley Yu,96,Medium,High,False,79
Richard Harmon,16,Low,Low,True,14
Selena Smith,86,Low,High,True,59
Melissa Johnson,35,Low,High,False,59
Steven Murphy,58,High,High,True,40
Kathleen Harvey,30,Low,High,True,92
Ryan Pierce,23,Medium,High,False,74
Jill Kim,37,Low,Medium,True,10
Cynthia Mendoza,91,High,High,True,27
Sherri Simmons,56,Medium,Medium,True,100
Carrie Hardin,95,Low,High,False,100
April Holt,79,Medium,Low,False,22
Kimberly Newman,94,Low,Low,True,75
Rhonda Kennedy,94,Medium,High,True,98
Dr. Shannon Sanchez MD,94,Medium,High,True,53
Keith Davis,12,High,Low,False,72
Carol Mendez,86,Low,Medium,True,55
Amy Kline,9,High,Medium,False,9
Mr. Michael Rich,4,High,High,False,4
David Munoz,98,High,Medium,True,45
John Carroll,23,High,High,False,9
Beth Hughes,96,High,Medium,False,54
Dominique Rangel,37,Low,High,True,79
Julie Martin,47,Medium,High,True,39
April Cherry,67,Medium,High,True,38
Lee Petty,7,Medium,Low,False,83
James Coleman,66,Low,Low,False,47
Jose Mckee,55,Low,Medium,True,20
Paul Myers,17,Medium,Medium,True,33
Angelica Reyes,47,Low,High,True,94
Cheryl Carpenter,8,High,High,False,35
Susan Drake,81,Low,Medium,False,23
Tyler Gardner,34,Medium,Low,True,23
George Rivera,88,Medium,High,False,16
Blake Dominguez,77,Medium,High,False,90
Kathleen Galvan,97,Low,Medium,True,60
April Carter,81,High,Low,False,40
Robert Meyer,82,Medium,Medium,False,85
Sabrina Carey,60,Medium,Medium,False,53
George Smith,18,High,High,True,27
James Atkins,9,Medium,Medium,True,14
Colleen Jensen,53,Medium,Low,False,34
Melissa Thomas,29,Low,High,True,27
Kim Esparza,86,Medium,Medium,False,4
Mary Barnes,83,Medium,Low,False,89
Heather Griffin,71,Medium,Low,True,39
Mr. Ryan Marshall MD,82,Medium,High,True,49
Daniel Vincent,26,Medium,Medium,True,20
Gina Gilmore,37,Medium,Low,False,68
Richard Mcguire,54,Medium,High,True,56
Michael Simpson,3,Low,Medium,True,27
Michele Hernandez,40,Medium,Medium,True,47
Danielle Wood,18,High,Low,True,59
Tracy Reilly,31,High,Low,False,46
Joshua Dean,29,High,Medium,False,50
Carolyn Meadows,15,Low,High,True,83
Dalton Roberts,44,High,Medium,False,1
Mrs. Erin Walker,13,Medium,High,True,8
Kristin Lane,99,Low,Medium,False,85
Sara Cummings,43,High,Medium,True,93
Charles Nelson,84,High,Medium,True,43
Ann Powell,76,Low,Low,True,62
Jeffrey Martinez,100,Low,High,True,34
Julia Thornton,10,Medium,High,False,84
Frank Adams,30,Low,Medium,True,29
Lori Rivera,78,Low,Medium,True,76
Jeff Hodge,22,High,High,True,8
Erica Noble,64,High,High,False,76
Thomas Arroyo,92,High,High,True,29
Kathleen Hill,36,Low,High,False,85
Angela Vance,30,High,Low,False,4
Robert Hess MD,67,Low,Low,True,30
Melissa White,30,Medium,Medium,True,7
Destiny Baker,95,Medium,High,True,53
Justin Rodriguez,11,Medium,Low,False,28
Gregory King,47,High,Low,True,3
John Cummings,83,Medium,Medium,True,12
Amanda Hampton,10,Low,High,False,14
Thomas Allen,13,Low,Low,False,8
Patricia Castaneda,62,Medium,Medium,True,77
David Lane,11,Medium,Low,True,59
Ashley Sosa,2,Medium,Low,True,15
Melissa Walker,73,Medium,High,True,1
Pamela Blackburn,20,Medium,Low,False,22
Benjamin Smith,64,Low,Low,False,30
Tammy Scott,23,Low,Low,True,6
Kristen Johnson,49,Low,High,False,35
Jessica Cox,28,Medium,High,False,100
Katie Hoffman,5,Low,Medium,False,4
Eric Dodson,5,High,High,True,29
James Oconnor,5,Medium,Medium,False,39
Dwayne Rodriguez,42,Medium,High,False,60
John Hamilton,20,Medium,Medium,False,85
April Coleman,61,Low,High,True,88
Rachel Martin DDS,44,Medium,High,False,90
Stephanie Lamb,73,High,High,False,91
Linda Daniel,76,Low,High,False,91
Amy Torres,37,Low,High,False,2
Kylie Alvarado,93,High,Low,True,32
Abigail Harris,26,Low,Medium,True,43
Selena Bender,63,Low,Medium,False,40
Timothy Butler,85,Medium,Medium,False,69
Brian Sanchez,8,Low,High,False,9
Eileen Powell,23,Low,Medium,False,68
Michael Garcia,29,Medium,High,True,46
Terry Poole,30,Medium,Medium,False,2
Katherine Fowler,22,Low,Medium,True,4
Tyrone Gaines,5,High,Medium,False,26
Austin Thomas,80,Low,High,True,79
Stephanie Morse,99,Low,High,False,56
Timothy Snyder,48,Medium,Low,False,30
Mr. John Byrd,18,Medium,High,True,58
David Bell,11,Medium,Low,True,57
Alexander Patrick,47,High,High,False,89
Sandra Allen,66,High,Low,True,39
Melissa Roberts,48,Medium,High,False,97
David Watson,78,Medium,High,False,87
Robert Owens,22,Low,High,False,24
Kimberly Herring,0,High,High,True,40
Gregory Green,42,High,Medium,True,70
Sara Hill,15,Medium,High,False,83
Jasmine Brown,14,Low,Medium,True,36
Cynthia Jones,13,Medium,Low,False,87
Jessica Anderson,38,High,High,True,91
Jessica Coleman,36,High,Medium,False,95
David Johnson,35,Medium,Low,False,10
Robert Berry,56,High,Low,True,16
John Sanchez,12,High,Low,True,81
Joann Kelly,7,High,High,True,7
Michael Jones,46,High,Medium,True,17
Teresa Vazquez,94,High,Medium,True,24
Donald Anderson,21,Medium,Low,True,18
Larry Moore,52,Low,High,True,18
Jonathan Torres,55,Medium,Medium,False,66
Aaron Barton,32,Low,Medium,True,22
Michael Bennett,31,Low,High,False,65
Stephanie Yoder,49,Medium,High,True,56
